value,unit,type,sourceName,startDate,endDate,device
117,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-26 08:33:49 +0100,2026-02-26 08:41:47 +0100,"<<HKDevice: 0x8bbd74ae0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
25,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-26 08:42:56 +0100,2026-02-26 08:51:56 +0100,"<<HKDevice: 0x8bbd74ae0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
4,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-26 08:51:58 +0100,2026-02-26 08:52:01 +0100,"<<HKDevice: 0x8bbd74ae0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
15,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-26 09:02:42 +0100,2026-02-26 09:02:47 +0100,"<<HKDevice: 0x8bbd74ae0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
5,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-26 09:02:47 +0100,2026-02-26 09:02:52 +0100,"<<HKDevice: 0x8bbd74ae0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-26 09:02:52 +0100,2026-02-26 09:02:55 +0100,"<<HKDevice: 0x8bbd74ae0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
7,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-26 09:02:57 +0100,2026-02-26 09:03:03 +0100,"<<HKDevice: 0x8bbd74ae0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-26 09:03:05 +0100,2026-02-26 09:03:08 +0100,"<<HKDevice: 0x8bbd74ae0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
11,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-26 09:03:28 +0100,2026-02-26 09:03:33 +0100,"<<HKDevice: 0x8bbd74ae0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-26 09:03:33 +0100,2026-02-26 09:03:36 +0100,"<<HKDevice: 0x8bbd74ae0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
