value,unit,type,sourceName,startDate,endDate,device
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 09:03:49 +0100,2026-02-26 09:03:51 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
2,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 09:27:08 +0100,2026-02-26 09:28:27 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 10:18:35 +0100,2026-02-26 10:18:38 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 10:42:48 +0100,2026-02-26 10:42:50 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 13:45:48 +0100,2026-02-26 13:45:51 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
4,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 13:52:14 +0100,2026-02-26 14:01:32 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
4,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 14:02:39 +0100,2026-02-26 14:08:21 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 14:12:19 +0100,2026-02-26 14:12:47 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 14:15:34 +0100,2026-02-26 14:15:54 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
3,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 14:22:59 +0100,2026-02-26 14:30:54 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 14:32:47 +0100,2026-02-26 14:33:53 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
3,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 14:41:01 +0100,2026-02-26 14:50:03 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 14:53:53 +0100,2026-02-26 14:53:56 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
4,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:02:22 +0100,2026-02-26 15:11:14 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:12:46 +0100,2026-02-26 15:13:32 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:16:31 +0100,2026-02-26 15:17:35 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:21:33 +0100,2026-02-26 15:21:36 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:21:46 +0100,2026-02-26 15:21:51 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:21:54 +0100,2026-02-26 15:22:22 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:25:39 +0100,2026-02-26 15:25:41 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:25:49 +0100,2026-02-26 15:25:54 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:31:34 +0100,2026-02-26 15:31:42 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:31:45 +0100,2026-02-26 15:33:12 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:35:40 +0100,2026-02-26 15:35:43 +0100,"<<HKDevice: 0x8bbd773c0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:35:48 +0100,2026-02-26 15:35:53 +0100,"<<HKDevice: 0x8bbd77360>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:38:49 +0100,2026-02-26 15:38:57 +0100,"<<HKDevice: 0x8bbd77360>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Marjolein,2026-02-26 15:38:59 +0100,2026-02-26 15:40:14 +0100,"<<HKDevice: 0x8bbd77360>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
