person,id,condition,floors,date,start_time_ascend,end_time_ascend,step_count_ascend,start_time_descend,end_time_descend,step_count_descend,registered_steps_ascend,registered_steps_descend,registered_floors_ascend,floor yasmin,,floor marjolein
Yasmin,3,running,2,27-02-2026,15:14:00,15:14:16,46,15:14:55,15:15:11,48,,,,"1,1",,"1,1"
Yasmin,3,running,2,27-02-2026,15:20:05,15:20:20,45,15:20:55,15:21:11,46,,,,"1,1",,"1,1"
Yasmin,3,running,2,,,,,,,,,,,,,
Yasmin,3,running,2,,,,,,,,,,,,,
Yasmin,3,running,2,,,,,,,,,,,,,
Yasmin,3,walking,2,27-02-2026,15:11:15,15:11:40,42,15:12:15,15:12:38,45,,,,"1,1",,"1,1"
Yasmin,3,walking,2,27-02-2026,15:17:40,15:18:05,42,15:18:35,15:18:58,46,,,,"1,1",,"1,1"
Yasmin,3,walking,2,,,,,,,,,,,,,
Yasmin,3,walking,2,,,,,,,,,,,,,
Yasmin,3,walking,2,,,,,,,,,,,,,
Yasmin,3,slow,2,,,,,,,,,,,,,
Yasmin,3,slow,2,,,,,,,,,,,,,
Yasmin,3,slow,2,,,,,,,,,,,,,
Yasmin,3,slow,2,,,,,,,,,,,,,
Yasmin,3,slow,2,,,,,,,,,,,,,
Marjolein,4,running,1,27-02-2026,14:27:55,14:28:02,24,14:29:45,14:29:51,25,,,,0,,0
Marjolein,4,running,1,27-02-2026,14:33:25,14:33:31,25,14:34:10,14:34:15,24,,,,0,,0
Marjolein,4,running,1,27-02-2026,14:39:25,14:39:31,25,14:40:45,14:40:51,24,,,,0,,0
Marjolein,4,running,1,27-02-2026,15:26:00,15:26:06,24,15:27:20,15:27:25,22,,,,0,,1
Marjolein,4,running,1,27-02-2026,15:32:20,15:32:26,24,15:34:20,15:34:26,21,,,,0,,1
Marjolein,4,walking,1,27-02-2026,14:25:49,14:26:03,22,14:26:45,14:26:57,22,,,,1,,1
Marjolein,4,walking,1,27-02-2026,14:31:40,14:31:53,23,14:32:30,14:32:42,23,,,,1,,1
Marjolein,4,walking,1,27-02-2026,14:37:25,14:37:37,22,14:38:15,14:38:27,23,,,,1,,1
