phone,person,id,condition,floors,date,start_time_ascend,end_time_ascend,step_count_ascend,start_time_descend,end_time_descend,step_count_descend,registered_steps_ascend,registered_steps_descend,registered_floors_ascend
iphone13m,Napoleon,2,walking,2,06-03-2026,11:49:10,11:49:35,44,11:50:30,11:50:48,48,50,39,2
iphone13m,Napoleon,2,walking,2,06-03-2026,11:54:10,11:54:34,44,11:55:26,11:55:42,44,44,28,2
iphone13m,Napoleon,2,slow,2,06-03-2026,13:54:00,13:54:46,49,13:55:15,13:55:50,47,48,47,2
iphone13m,Napoleon,2,slow,2,06-03-2026,13:59:35,14:00:15,47,14:00:45,14:01:19,47,51,47,2
iphone13m,Napoleon,2,slow,2,06-03-2026,14:04:15,14:04:52,47,14:07:15,14:07:48,47,47,46,2
iphone13m,Napoleon,2,slow,2,06-03-2026,15:05:30,15:06:04,47,15:06:35,15:07:08,48,46,48,2
iphone13m,Napoleon,2,slow,2,06-03-2026,15:12:10,15:12:47,48,15:13:15,15:13:47,47,53,47,2
iphone13m,Yasmin,3,running,1,26-02-2026,15:04:30,15:04:37,22,15:05:25,15:05:33,22,10,12,1
iphone13m,Yasmin,3,running,1,26-02-2026,15:10:10,15:10:17,22,15:11:10,15:11:18,22,23,8,1
iphone13m,Yasmin,3,running,1,26-02-2026,15:16:10,15:16:16,22,15:17:30,15:17:37,22,14,0,1
iphone13m,Yasmin,3,running,1,27-02-2026,13:41:55,13:42:02,22,13:43:25,13:43:32,21,10,11,0
iphone13m,Yasmin,3,running,1,27-02-2026,13:50:00,13:50:07,22,13:51:50,13:51:57,21,6,12,0
iphone13m,Yasmin,3,walking,1,26-02-2026,15:02:00,15:02:12,21,15:02:45,15:02:57,22,20,20,1
iphone13m,Yasmin,3,walking,1,26-02-2026,15:07:55,15:08:06,21,15:09:00,15:09:11,21,20,23,1
iphone13m,Yasmin,3,walking,1,26-02-2026,15:12:30,15:12:42,22,15:13:30,15:13:41,21,19,21,1
iphone13m,Yasmin,3,walking,1,27-02-2026,13:38:30,13:38:42,21,13:39:30,13:39:42,21,22,22,1
iphone13m,Yasmin,3,walking,1,27-02-2026,13:47:30,13:47:42,21,13:48:20,13:48:32,22,20,23,1
iphone13m,Yasmin,3,slow,1,06-03-2026,13:10:50,13:11:11,22,13:12:10,13:12:33,22,28,26,1
iphone13m,Yasmin,3,slow,1,06-03-2026,13:14:40,13:15:03,23,13:16:10,13:16:34,24,25,35,1
iphone13m,Yasmin,3,slow,1,06-03-2026,13:17:50,13:18:14,22,13:18:45,13:19:10,26,26,21,1
iphone13m,Yasmin,3,slow,1,06-03-2026,14:56:55,14:57:14,22,14:58:15,14:58:31,24,22,25,1
iphone13m,Yasmin,3,slow,1,06-03-2026,15:00:10,15:00:24,22,15:01:50,15:02:09,24,20,28,1
iphone13m,Yasmin,3,running,2,27-02-2026,15:14:00,15:14:16,46,15:14:55,15:15:11,48,32,28,2
iphone13m,Yasmin,3,running,2,27-02-2026,15:20:05,15:20:20,45,15:20:55,15:21:11,46,46,10,2
