person,id,condition,floors,date,start_time_ascend,end_time_ascend,step_count_ascend,start_time_descend,end_time_descend,step_count_descend,registered_steps_ascend,registered_steps_descend,registered_floors_ascend,floor yasmin,,floor marjolein
Mara,1,running,2,06-03-2026,12:09:25,12:09:41,47,12:10:15,12:10:29,45,,,,"1,1",,"1,1"
Mara,1,walking,2,27-02-2026,14:46:30,14:46:58,45,14:48:15,14:48:41,46,45,45,"1,1",,,
Mara,1,walking,2,27-02-2026,14:53:45,14:54:11,45,14:54:45,14:55:09,47,45,48,"1,1",,,
Mara,1,walking,2,06-03-2026,12:02:10,12:02:40,45,12:03:07,12:03:36,47,,,,"1,1",,"1,1"
Mara,1,walking,2,06-03-2026,12:07:15,12:07:45,45,12:08:06,12:08:31,46,,,,"1,1",,"1,1"
Mara,1,walking,2,06-03-2026,12:11:35,12:12:01,43,12:12:25,12:12:47,45,,,,"1,1",,"1,1"
Mara,1,slow,2,06-03-2026,13:21:35,13:22:28,45,13:23:40,13:24:30,49,,,,"1,1",,"1,1"
Mara,1,slow,2,06-03-2026,13:26:40,13:27:33,50,13:28:20,13:29:04,48,,,,"1,1",,"1,1"
Mara,1,slow,2,06-03-2026,13:30:45,13:31:35,49,13:32:20,13:33:13,51,,,,"1,1",,"1,1"
Mara,1,slow,2,06-03-2026,14:35:30,14:36:15,46,14:38:07,14:38:52,51,,,,"1,1",,"1,1"
Mara,1,slow,2,06-03-2026,14:40:15,14:41:01,46,14:41:50,14:42:34,52,,,,"1,1",,"1,1"
Napoleon,2,running,1,26-02-2026,14:46:00,14:46:05,12,14:47:45,14:47:50,13,8,10,0,,,
Napoleon,2,running,1,26-02-2026,14:51:30,14:51:35,13,14:52:20,14:52:25,14,8,10,0,,,
Napoleon,2,running,1,26-02-2026,14:57:15,14:57:20,12,14:57:50,14:57:57,13,8,2,0,,,
Napoleon,2,running,1,27-02-2026,14:17:05,14:17:09,12,14:18:30,14:18:35,14,16,0,0,,,
Napoleon,2,running,1,27-02-2026,14:21:35,14:21:40,12,14:23:00,14:23:05,14,10,9,0,,,
Napoleon,2,walking,1,26-02-2026,14:42:30,14:42:43,22,14:43:45,14:43:55,23,20,22,1,,,
Napoleon,2,walking,1,26-02-2026,14:49:10,14:49:23,22,14:50:00,14:50:10,24,21,20,1,,,
Napoleon,2,walking,1,26-02-2026,14:53:25,14:53:37,22,14:54:45,14:54:54,23,23,18,1,,,
Napoleon,2,walking,1,27-02-2026,14:14:05,14:14:17,22,14:14:45,14:14:55,24,20,21,1,,,
Napoleon,2,walking,1,27-02-2026,14:19:50,14:20:02,22,14:20:25,14:20:34,22,18,19,1,,,
Napoleon,2,slow,1,06-03-2026,13:51:40,13:52:04,23,13:52:30,13:52:47,23,,,,1,,1
Napoleon,2,slow,1,06-03-2026,13:57:20,13:57:38,23,13:58:00,13:58:17,23,,,,1,,1
Napoleon,2,slow,1,06-03-2026,14:02:15,14:02:32,23,14:02:55,14:03:11,23,,,,1,,1
Napoleon,2,slow,1,06-03-2026,15:03:20,15:03:39,23,15:04:10,15:04:25,23,,,,1,,1
Napoleon,2,slow,1,06-03-2026,15:09:35,15:09:52,23,15:10:20,15:10:35,23,,,,1,,1
Napoleon,2,running,2,27-02-2026,15:03:15,15:03:26,25,15:04:05,15:04:16,26,26,22,"1,1",,,
Napoleon,2,running,2,27-02-2026,15:08:00,15:08:11,24,15:08:40,15:08:50,26,16,24,0,,,
Napoleon,2,running,2,06-03-2026,11:47:00,11:47:10,24,11:47:45,11:47:56,27,,,,"1,1",,0
Napoleon,2,running,2,06-03-2026,11:51:55,11:52:06,24,11:52:45,11:52:56,27,,,,"1,1",,2
