value,unit,type,sourceName,startDate,endDate,device
12,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-03-06 08:54:22 +0100,2026-03-06 08:54:28 +0100,"<<HKDevice: 0x6a6a786e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
62,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-03-06 09:10:32 +0100,2026-03-06 09:20:02 +0100,"<<HKDevice: 0x6a6a786e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
91,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-03-06 09:21:14 +0100,2026-03-06 09:22:51 +0100,"<<HKDevice: 0x6a6a786e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
178,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-03-06 09:34:45 +0100,2026-03-06 09:44:43 +0100,"<<HKDevice: 0x6a6a786e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
166,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-03-06 09:45:32 +0100,2026-03-06 09:54:16 +0100,"<<HKDevice: 0x6a6a786e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
264,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-03-06 09:56:31 +0100,2026-03-06 10:06:32 +0100,"<<HKDevice: 0x6a6a786e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
346,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-03-06 10:06:32 +0100,2026-03-06 10:16:32 +0100,"<<HKDevice: 0x6a6a786e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
320,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-03-06 10:16:35 +0100,2026-03-06 10:20:55 +0100,"<<HKDevice: 0x6a6a786e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
357,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-03-06 10:42:39 +0100,2026-03-06 10:45:48 +0100,"<<HKDevice: 0x6a6a786e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
484,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-03-06 10:57:25 +0100,2026-03-06 11:01:49 +0100,"<<HKDevice: 0x6a6a786e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
