value,unit,type,sourceName,startDate,endDate,device
136,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-27 08:35:34 +0100,2026-02-27 08:44:18 +0100,"<<HKDevice: 0x75ccdfc00>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
46,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-27 08:45:07 +0100,2026-02-27 08:53:56 +0100,"<<HKDevice: 0x75ccdfc00>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
235,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-27 09:03:01 +0100,2026-02-27 09:11:32 +0100,"<<HKDevice: 0x75ccdfc00>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
366,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-27 09:19:38 +0100,2026-02-27 09:23:36 +0100,"<<HKDevice: 0x75ccdfc00>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
155,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-27 09:32:16 +0100,2026-02-27 09:34:18 +0100,"<<HKDevice: 0x75ccdfc00>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
122,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-27 10:04:58 +0100,2026-02-27 10:09:34 +0100,"<<HKDevice: 0x75ccdfc00>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
1115,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-27 10:18:41 +0100,2026-02-27 10:28:43 +0100,"<<HKDevice: 0x75ccdfc00>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
62,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-27 10:28:43 +0100,2026-02-27 10:29:16 +0100,"<<HKDevice: 0x75ccdfc00>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
142,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-27 10:29:16 +0100,2026-02-27 10:30:38 +0100,"<<HKDevice: 0x75ccdfc00>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
27,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-27 10:31:21 +0100,2026-02-27 10:31:44 +0100,"<<HKDevice: 0x75ccdfc00>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
114,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-02-27 11:49:30 +0100,2026-02-27 11:54:35 +0100,"<<HKDevice: 0x75ccdfc00>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
